"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","1.22",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32.avg","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32.max","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32.min","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32.sum","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_off.avg","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_off.max","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_off.min","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_off.sum","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_on.avg","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_on.max","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_on.min","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_bf16_dst_fp32_sparsity_on.sum","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16.avg","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16.max","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16.min","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16.sum","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_off.avg","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_off.max","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_off.min","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_off.sum","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_on.avg","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_on.max","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_on.min","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp16_sparsity_on.sum","","0",
"0","3795418","python3.11","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","1","7","(128, 1, 1)","(8, 4, 5)","0","8.0","Command line profiler metrics","sm__ops_path_tensor_src_fp16_dst_fp32.avg","","0",
